symbol,timestamp,open,high,low,close,volume
ETH,2025-05-05 00:00:00,1810.99,1831.88,1783.01,1819.05,76.1355
ETH,2025-05-06 00:00:00,1820.67,1820.67,1751.68,1815.43,94.2121
ETH,2025-05-07 00:00:00,1816.55,1848.69,1789.16,1812.02,155.8236
ETH,2025-05-08 00:00:00,1810.7,2223.19,1809.63,2206.67,936.3277
ETH,2025-05-09 00:00:00,2200.29,2488.35,2184.3,2346.37,691.8352
ETH,2025-05-10 00:00:00,2343.69,2599.28,2322.23,2583.47,432.3163
ETH,2025-05-11 00:00:00,2583.99,2604.31,2442.02,2512.17,599.0534
ETH,2025-05-12 00:00:00,2515.14,2622.72,2409.98,2489.81,594.0451
ETH,2025-05-13 00:00:00,2489.81,2736.98,2416.98,2686.21,359.7329
ETH,2025-05-14 00:00:00,2678.01,2723.29,2549.86,2612.63,299.5773
ETH,2025-05-15 00:00:00,2611.21,2643.99,2481.43,2546.07,316.7284
ETH,2025-05-16 00:00:00,2548.02,2647.3,2530.46,2536.59,210.7897
ETH,2025-05-17 00:00:00,2530.78,2534.48,2448.87,2474.9,218.7919
ETH,2025-05-18 00:00:00,2473.41,2583.05,2327.6,2496.71,390.2953
ETH,2025-05-19 00:00:00,2503.81,2543.51,2350.91,2533.31,183.2245
ETH,2025-05-20 00:00:00,2530.47,2588.56,2445.89,2524.65,162.0738
ETH,2025-05-21 00:00:00,2522.47,2612.87,2472.95,2549.96,1220.2671
ETH,2025-05-22 00:00:00,2548.94,2690.88,2548.94,2664.71,365.1348
ETH,2025-05-23 00:00:00,2654.39,2731.72,2504.96,2516.3,431.6383
ETH,2025-05-24 00:00:00,2524.03,2574.63,2518.18,2529.03,92.7511
ETH,2025-05-25 00:00:00,2534.89,2552.88,2466.35,2552.1,158.8341
ETH,2025-05-26 00:00:00,2552.42,2596.87,2528.04,2563.07,138.0708
ETH,2025-05-27 00:00:00,2565.05,2708.34,2512.7,2665.1,330.5946
ETH,2025-05-28 00:00:00,2660.37,2686.99,2610,2680.18,214.4105
